2025-03-12T16:28:08Z	debug	connection string: postgres://postgres:postgres@letslive_livestream_db:5432/letslive_livestream?sslmode=disable
2025-03-12T16:28:09Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:28:10Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:28:24Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:28:25Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:28:39Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:28:40Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:28:54Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:28:55Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:09Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:10Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:20Z	info	success api call	{"duration": 12, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 1186, "response#status": 200, "uri": "/v1/popular-vods?page=0"}
2025-03-12T16:29:20Z	info	success api call	{"duration": 14, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 3, "response#status": 200, "uri": "/v1/livestreamings?page=0"}
2025-03-12T16:29:24Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:25Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:39Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:40Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:43Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 3, "response#status": 200, "uri": "/v1/livestreamings?page=0"}
2025-03-12T16:29:43Z	info	success api call	{"duration": 1, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 1186, "response#status": 200, "uri": "/v1/popular-vods?page=0"}
2025-03-12T16:29:53Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 3, "response#status": 200, "uri": "/v1/livestreamings?page=0"}
2025-03-12T16:29:53Z	info	success api call	{"duration": 1, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 1186, "response#status": 200, "uri": "/v1/popular-vods?page=0"}
2025-03-12T16:29:54Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:29:55Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:09Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:10Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:18Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 1186, "response#status": 200, "uri": "/v1/popular-vods?page=0"}
2025-03-12T16:30:18Z	info	success api call	{"duration": 1, "method": "GET", "remote#addr": "172.18.0.1", "response#bytes": 3, "response#status": 200, "uri": "/v1/livestreamings?page=0"}
2025-03-12T16:30:24Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:25Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:39Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:40Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:54Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
2025-03-12T16:30:55Z	info	success api call	{"duration": 0, "method": "GET", "remote#addr": "172.18.0.6", "response#bytes": 0, "response#status": 200, "uri": "/v1/health"}
